Product,Search,SKU,Price,Margin,Total Ad Spent,Revenue,Gross Roas,Breakeven,Net Roas,Puchase Count
Brand Awareness,"UGC,Advantage + Catalogue Ad, Flexible Ad, Buddy-SMB, Petfed",NA,0,0,,,,,,
Fluff Mist Brush,"FMB, MISTBRU, FLUFFMIST",TH-037-MISTBRU,799,499,,,,,,
Furease Click Brush ,"Fur Ease Auto Sleeker, FURBRU, CLIBRU, FEC , Fur ease, FurEase",TH-008-CLIBRU,399,115,,,,,,
Aromatherapy Dog Shampoo,"Aromatherapy, TA Shampoo, TA",TH-001-THARSH,919,495,,,,,,
Snug Sole Pet Boots,"Padboo, Padded Paws Boots, PaddedPaw Boots, SNUGBOO",TH-012-SNUGBOO,1399,498,,,,,,
Groom Ease Glove,Grippy Paws Gloves,TH-044-GREAGLO,399,165,,,,,,
Daily Pet Wipes,"Wet Wipes, PETWIP",TH-010-PETWIP,499,238,,,,,,
Microbiome Shampoo,"SKMISH, Microbiome, Buddy Shorter, SMB",TH-002-SKMISH,919,495,,,,,,
Trimzy Nail cutter,"Nail Cutter, NAICUTFIL, NC",TH-018-NAICUTFIL,699,383,,,,,,
Trimease paw trimmer,PAWTR,TH-038-PAWTR,999,543,,,,,,
Tick&Flea Dog Shampoo,"Tick&Flea, TNFSH",TH-004-THFSH,919,495,,,,,,
The perfect home gromming duo,"HOMGRODUO, Click Brush Combos",TH-017-HOMGRODUO,1099,281,,,,,,
On the go hygiene pack,OTGHP,TH-031-OTGHP,1699,631,,,,,,
Paw Cleanser,Paw Cleanser,TH-013-PAWCLESH,899,333,,,,,,
Complete Care shampoo ,"COMCARE, COMDOGSHCOM",TH-028-COMCARE,2999,1392,,,,,,
Sunday Spa Kit,SUNSPAKIT,TH-024-SUNSPAKIT,1599,634,,,,,,
Tendertrek silicon Boots,"Tendertrek Shoes , SILBOO",TH-063-SILBOO,1299,543,,,,,,
Mealmate bottle,MEALBOT,TH-036-MEALBOT,899,529,,,,,,
Aqua Care Shower,Aqua Shower,TH-005-AQCASHO,599,268,,,,,,
PalmPerfect Gloves,PalmPerfect Gloves,TH-011-PPGLO,499,198,,,,,,
Neem & tea tree Shampoo,"Neem & tea, NTT",TH-003-NTOSH,919,495,,,,,,
Aromatherapy and SkinMicrobiome,TA & SMB,TH-027-NAS,1499,600,,,,,,
Tote Bag,TOTE,TH-054-TOTE,1599,908,,,,,,
Fur Away Roller,Fur Away Roller,TH-007-FROLL,599,28,,,,,,
Sip mate water bottle,Water Bottle,TH-016-SIPBOT,499,108,,,,,,
All rounder gromming kit,ALLGRO,TH-039-ALLGRO,1999,864,,,,,,
Neem and Tick releif Combo,TF & NTT,TH-030-EODSHCO,1499,600,,,,,,
Catstronaut Bag Pack,Catstronaut,TH-065-CATBAG,1699,847,,,,,,
Stay in style Set,STYLE,TH-032-STYLE,2099,980,,,,,,
Neem Care and MIcrobiome Shampoo Combo,NTT & SMB,TH-029-FURLOVE,1499,600,,,,,,
Adventure pack,ADVPAC,TH-060-ADVPAC,2599,777,,,,,,
Mindful Munch Bowl,Feeder,TH-015-MBOW,499,218,,,,,,
Puppy Homecoming Kit,PUPHOME,TH-061-PUPHOME,2599,1337,,,,,,
Everyday Explorer Kit,EVEXPAC,TH-019-EVEXPAC,2199,453,,,,,,
Snout Gaurd,PPDM,TH-033-SNOG,999,552,,,,,,
Pet pedicure set ,PETPED,TH-062-PETPED,2199,756,,,,,,
