campaign_name,adset_name,ad_name,channel,attributed,orders,attributed_orders,total_sales,total_cogs,spend,net_profit,roas,ctr,conversion_rate,avg_order_value,profit_margin,impressions,clicks,all_skus,total_unique_skus,total_sku_quantity
Direct/Unknown - Unknown Campaign,Direct/Unknown - Unknown Adset,Direct/Unknown - Unknown Ad,Direct/Unknown,False,4.0,0.0,9795.0,3675.0,0.0,6120.0,0.0,0.0,0.0,2448.75,62.480857580398165,0.0,0.0,"TH-064-LITTER, TH-037-MISTBRU, TH-058-CAPE-M, TH-073-SMARTSIP, TH-068-WILD-XL",5.0,5.0
TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,Facebook,True,2.0,2.0,4198.0,1577.0,3748.4,-1127.4,1.1199445096574538,1.205770158284737,0.7272727272727273,2099.0,-26.855645545497858,22807.0,275.0,"TH-068-WILD-XXL, TH-068-WILD-L",2.0,2.0
Unknown Campaign - Facebook,Unknown Adset - Facebook,Unknown Ad - Facebook,Facebook,True,3.0,3.0,3817.0,1420.0,0.0,2397.0,0.0,0.0,0.0,1272.3333333333333,62.798008907519,0.0,0.0,"TH-068-WILD-S, TH-003-NTTOSH, TH-067-SIPEASE",3.0,3.0
TH-063-SILBOO,Adventure Trekkers,TH-063-SILBOO,Instagram,True,2.0,2.0,3498.0,1307.0,1088.52,1102.48,3.213537647447911,3.3207107486163707,1.7543859649122806,1749.0,31.517438536306464,3433.0,114.0,"TH-063-SILBOO-L, TH-068-WILD-M",2.0,2.0
TH - Adv+ Shopping-2 - Video & Image - IG & FB - India - Sales - 04/05/2025,1MHO - Adv+ (Exc. Purchases (30D)),TH-037-MISTBRU-ET101-SI210-ET137-ET139 – Copy 2,Instagram,True,3.0,3.0,3196.0,844.0,3342.4700000000003,-990.4700000000003,0.9561791130511268,1.03308326159144,3.571428571428571,1065.3333333333333,-30.990926157697128,8131.0,84.0,TH-037-MISTBRU,3.0,4.0
TH-053-JACKET,ICP Pet Parent,TH-053-JACKET_ET156_IM259,Instagram,True,1.0,1.0,2999.0,1339.0,1777.72,-117.72000000000003,1.6869923272506355,1.2582573136206354,0.8333333333333334,2999.0,-3.9253084361453827,9537.0,120.0,TH-028-COMCARE,1.0,1.0
TH-075-NAPDEN,Luxury Buyers,TH-075-NAPDEN_SI223_VP031,Instagram,True,1.0,1.0,2699.0,1673.0,693.57,332.42999999999995,3.8914601265914035,2.1479713603818613,2.7777777777777777,2699.0,12.316783994071876,1676.0,36.0,TH-075-NAPDEN-L,1.0,1.0
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,Instagram,True,1.0,1.0,2698.0,936.0,1176.35,585.6500000000001,2.293535087346453,1.415397812567017,0.7575757575757576,2698.0,21.70681986656783,9326.0,132.0,"TH-037-MISTBRU, TH-068-WILD-M",2.0,2.0
TH-053-JACKET – Life Time,Remarketing,TH-053-JACKET_ET156_IM259,Facebook,True,1.0,1.0,2499.0,879.0,3068.35,-1448.35,0.814444245278407,1.7104459376908978,1.1904761904761905,2499.0,-57.95718287314926,4911.0,84.0,TH-053-COAT-XXXL,1.0,1.0
TH-053-JACKET – Life Time,ICP Pet Parent,TH-053-JACKET_ET156_IM259,Instagram,True,1.0,1.0,2399.0,832.0,392.99,1174.01,6.104481030051655,1.7710309930423784,3.571428571428571,2399.0,48.93747394747812,1581.0,28.0,TH-053-COAT-XXL,1.0,1.0
