campaign_name,adset_name,ad_name,date_start,channel,impressions,clicks,spend,ctr,cpm,cpc,fb_action_onsite_web_purchase,fb_value_onsite_web_purchase,fb_roas,shopify_orders,shopify_revenue,shopify_cogs,shopify_profit,shopify_roas,shopify_conversion_rate,shopify_avg_order_value,revenue_difference,orders_difference,roas_difference,unique_skus,unique_sku_count,total_sku_quantity,utm_source,utm_medium,utm_campaign,utm_content,utm_term
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,Instagram,9326,132,1176.35,1.415397812567017,126.1366073343341,8.911742424242423,3.0,7595.0,6.4564117822076765,2,4897.0,1762.0,3135.0,4.1628766948612235,1.5151515151515151,2448.5,-2698.0,-1.0,-2.293535087346453,"TH-068-WILD-M, TH-068-WILD-XXL, TH-037-MISTBRU",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783
TH-053-JACKET – Life Time,Remarketing,TH-053-JACKET_ET156_IM259,2025-07-01,Facebook,4911,84,3068.35,1.7104459376908978,624.7912848706984,36.52797619047619,2.0,4198.0,1.3681620414880962,2,4198.0,1352.0,2846.0,1.3681620414880962,2.380952380952381,2099.0,0.0,0.0,0.0,"TH-053-COAT-XXXL, TH-053-COAT-S",2,2,fb,120226599037790783,120226599955750783,120226599955740783,120226599955750783
TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,Facebook,22807,275,3748.4,1.205770158284737,164.35304950234578,13.630545454545455,3.0,6197.0,1.6532387151851455,2,4198.0,1577.0,2621.0,1.1199445096574538,0.7272727272727273,2099.0,-1999.0,-1.0,-0.5332942055276917,"TH-068-WILD-L, TH-068-WILD-XXL",2,2,facebook,paid,120226090519070783,120226090519060783,120226090519120783
TH-068-WILD – Life Time,ICP Pet Parent,TH-068-WILD_VP001_ET101,2025-07-01,Direct/Unknown,20604,294,3596.13,1.4269073966220152,174.53552708211998,12.231734693877552,4.0,7116.0,1.9787938700769994,2,3998.0,1513.0,2485.0,1.111750687544666,0.6802721088435374,1999.0,-3118.0,-2.0,-0.8670431825323333,"TH-068-WILD-M, TH-068-WILD-XL",2,2,,paid,120226090519070783,120226090519040783,120226090519050783
TH - Adv+ Shopping-2 - Video & Image - IG & FB - India - Sales - 04/05/2025,1MHO - Adv+ (Exc. Purchases (30D)),TH-037-MISTBRU-ET101-SI210-ET137-ET139 – Copy 2,2025-07-01,Instagram,8131,84,3342.4700000000003,1.03308326159144,411.0773582585168,39.791309523809524,7.0,7992.0,2.391046142523343,4,3995.0,1055.0,2940.0,1.1952238913139084,4.761904761904762,998.75,-3997.0,-3.0,-1.1958222512094348,TH-037-MISTBRU,1,5,ig,120221341262910783,120221343090860783,120221343090860783,120221341262900783
TH-063-SILBOO,ICP Pet Parent,TH-063-SILBOO,2025-07-01,Instagram,3178,100,883.47,3.146633102580239,277.9955947136564,8.8347,3.0,5697.0,6.448436279669938,2,3598.0,1333.0,2265.0,4.072577450281277,2.0,1799.0,-2099.0,-1.0,-2.375858829388661,"TH-063-SILBOO-L, TH-068-WILD-L",2,2,ig,120226643827580783,120226643827590783,120226643827600783,120226643827590783
TH-063-SILBOO,Adventure Trekkers,TH-063-SILBOO,2025-07-01,Instagram,3433,114,1088.52,3.3207107486163707,317.07544421788526,9.548421052631578,2.0,3498.0,3.213537647447911,2,3498.0,1307.0,2191.0,3.213537647447911,1.7543859649122806,1749.0,0.0,0.0,0.0,"TH-068-WILD-M, TH-063-SILBOO-L",2,2,ig,120226643827580783,120226643827570783,120226643827550783,120226643827570783
TH-053-JACKET,ICP Pet Parent,TH-053-JACKET_ET156_IM259,2025-07-01,Instagram,9537,120,1777.72,1.2582573136206354,186.40243263080632,14.814333333333334,2.0,5998.0,3.373984654501271,1,2999.0,1339.0,1660.0,1.6869923272506355,0.8333333333333334,2999.0,-2999.0,-1.0,-1.6869923272506355,TH-028-COMCARE,1,1,ig,120226390275250783,120226390275230783,120226390275200783,120226390275230783
TH-075-NAPDEN,Luxury Buyers,TH-075-NAPDEN_SI223_VP031,2025-07-01,Instagram,1676,36,693.57,2.1479713603818613,413.8245823389022,19.265833333333333,1.0,2699.0,3.8914601265914035,1,2699.0,1673.0,1026.0,3.8914601265914035,2.7777777777777777,2699.0,0.0,0.0,0.0,TH-075-NAPDEN-L,1,1,ig,120226869972100783,120226870914930783,120226870914920783,120226870914930783
TH-053-JACKET – Life Time,ICP Pet Parent,TH-053-JACKET_ET156_IM259,2025-07-01,Instagram,1581,28,392.99,1.7710309930423784,248.57052498418722,14.035357142857142,2.0,3598.0,9.15544924807247,1,2399.0,832.0,1567.0,6.104481030051655,3.571428571428571,2399.0,-1199.0,-1.0,-3.050968218020815,TH-053-COAT-XXL,1,1,ig,120226599037790783,120226599037750783,120226599037810783,120226599037750783
TH-068-WILD - Alternate Twin,Luxury Spenders,TH-068-WILD_VP001_ET101,2025-07-01,Facebook,6376,99,1056.43,1.552697616060226,165.68851944792976,10.671010101010102,2.0,5097.0,4.824739925977111,1,2199.0,826.0,1373.0,2.0815387673579884,1.0101010101010102,2199.0,-2898.0,-1.0,-2.7432011586191227,TH-068-WILD-XXL,1,1,fb,120226594464060783,120226595001650783,120226595001660783,120226595001650783
