campaign_name,adset_name,ad_name,date_start,hourly_window,start_hour,end_hour,channel,impressions,clicks,spend,ctr,cpm,cpc,fb_action_onsite_web_purchase,fb_value_onsite_web_purchase,fb_roas,shopify_orders,shopify_revenue,shopify_cogs,shopify_profit,shopify_roas,shopify_conversion_rate,shopify_avg_order_value,revenue_difference,orders_difference,roas_difference,unique_skus,unique_sku_count,total_sku_quantity,utm_source,utm_medium,utm_campaign,utm_content,utm_term,order_ids,order_count
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,02:00:00 - 02:59:59,,,Instagram,19,0,1.32,0.0,69.5417,,,,,2,4897.0,1762.0,3135.0,3709.8484848484845,0.0,2448.5,,,,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,17:00:00 - 17:59:59,,,Instagram,2,0,0.14,0.0,70.0685,,,,,2,4897.0,1762.0,3135.0,34978.57142857143,0.0,2448.5,,,,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,01:00:00 - 01:59:59,,,Instagram,29,0,3.92,0.0,135.3047,,,,,2,4897.0,1762.0,3135.0,1249.234693877551,0.0,2448.5,,,,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,13:00:00 - 13:59:59,,,Instagram,7,0,0.5,0.0,71.4985,,,,,2,4897.0,1762.0,3135.0,9794.0,0.0,2448.5,,,,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,08:00:00 - 08:59:59,,,Instagram,413,7,51.72,1.6949,125.2314,7.3887,,,,2,4897.0,1762.0,3135.0,94.68290796597061,28.57142857142857,2448.5,,,,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,15:00:00 - 15:59:59,,,Instagram,803,6,69.68,0.7472,86.7723,11.613,,,,2,4897.0,1762.0,3135.0,70.27841561423651,33.33333333333333,2448.5,,,,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,00:00:00 - 00:59:59,,,Instagram,114,4,16.04,3.5088,140.6638,4.0089,,,,2,4897.0,1762.0,3135.0,305.2992518703242,50.0,2448.5,,,,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,22:00:00 - 22:59:59,,,Instagram,931,5,87.09,0.5371,93.5394,17.417,,,,2,4897.0,1762.0,3135.0,56.229188196118955,40.0,2448.5,,,,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,14:00:00 - 14:59:59,,,Instagram,629,11,71.83,1.7488,114.1975,6.53,,,,2,4897.0,1762.0,3135.0,68.17485730196297,18.181818181818183,2448.5,,,,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,11:00:00 - 11:59:59,,,Instagram,188,4,77.23,2.1277,410.7739,19.3064,,,,2,4897.0,1762.0,3135.0,63.408002071733776,50.0,2448.5,,,,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
